0,3,6,12.34
0,4,7,45.67
0,5,8,78.90
0,6,9,34.56
0,7,10,67.89
0,8,11,23.45
0,9,12,56.78
0,10,13,90.12
0,11,14,45.67
0,12,15,78.90
0,13,16,34.56
0,14,17,67.89
0,15,18,23.45
0,16,19,56.78
0,17,20,90.12
0,18,21,45.67
0,19,22,78.90
0,20,23,34.56
0,21,24,67.89
0,22,25,23.45
0,23,26,56.78
0,24,27,90.12
0,25,28,45.67
0,26,29,78.90
0,27,30,34.56
0,28,31,67.89
0,29,32,23.45
0,30,33,56.78
0,31,34,90.12
0,32,35,45.67
0,33,36,78.90
0,34,37,34.56
0,35,38,67.89
0,36,39,23.45
0,37,40,56.78
0,38,41,90.12
0,39,42,45.67
0,40,43,78.90
0,41,44,34.56
0,42,45,67.89
0,43,46,23.45
0,44,47,56.78
0,45,48,90.12
0,46,49,45.67
0,47,50,78.90
0,48,51,34.56
0,49,52,67.89
0,50,53,23.45
0,51,54,56.78
0,52,55,90.12
