"0","Civil in step guess pattern","Face if one may visit rich beat rate or money foot","Work plant off to","390.73","4","true","0"
"1","Still reduce","Thousand season program behind number alone join be","Want affect can doctor interesting","361.98","4","false","0"
"2","Deal western","Sister view the mission teach meet themselves leader hear cause figure though","Too design","422.58","4","true","0"
"3","Although skill me movement","All capital modern determine region throughout clearly he author vote","Require likely improve","180.20","5","false","0"
"4","Red however draw","Reflect including phone carry window sell statement deal style","Professor together painting value","17.37","1","false","0"
"5","Position animal close","Hard usually direction campaign Congress push modern young","Research out I","31.25","5","false","0"
"6","Local sing money","End anything side low approach case reflect","Which lead probably base open","377.93","0","true","0"
"7","Significant debate front free","New natural discuss stay machine strong just ability dinner participant cold machine","Hotel community two back better","305.12","0","true","0"
"8","Fly area parent may","Mission score stay question population process future else establish process almost give","Not you work each","377.23","4","true","0"
"9","Reach story case","Stand record produce cause especially like practice century go","Analysis affect task","468.73","0","false","0"
"10","Within threat black","Establish husband heavy stuff cover training product majority rest culture","Everything those","495.20","4","false","0"
"11","Treatment early wait","Size try nearly community summer third","Party enough risk","491.44","0","false","0"
"12","Statement religious force us","Return their down adult coach represent section performance","Each technology hot tax","193.41","2","false","0"
"13","Fall do movie black","Suddenly game least tend throughout much nation bar defense","Environmental near future","482.00","1","false","0"
"14","Bill during professional enough","Own generation note quite term try","Side part west hold","235.87","5","false","0"
"15","Theory history design","Service ask behavior financial front relate investment both bill situation war","Happy bad economic voice trial","345.35","5","true","0"
"16","Cover somebody bad top","Reduce recent look audience generation set onto figure common decision move record want","Plan your participant sit I","71.76","2","true","0"
"17","Avoid material line other","Compare where value team majority would author pressure allow","Stay TV sure statement","292.81","3","true","0"
"18","Tend any home","General others step forget building ground establish go with","Once style measure use","129.45","1","true","0"
"19","Create behavior","Effort kitchen into data miss lawyer machine candidate","Newspaper up year particular","257.97","5","true","0"
"20","Clearly relate fire","However modern along various century energy reduce old with left spring order","Statement stay performance Mrs","312.51","2","true","0"
"21","Minute parent money huge heart","Kind probably sound policy history blood whose marriage kid several","Relate woman strategy","321.44","1","true","0"
"22","Positive kind development impact plant","Wait work more fact behind again everybody always","Long star street","242.96","3","false","0"
"23","Institution name perform themselves","Because could event subject first pretty","Myself direction message","11.97","2","true","0"
"24","Final listen certain","Southern other but certainly worker receive production maintain food sure","Economic gas five","87.73","3","false","0"
"25","Soldier suddenly myself imagine","Then prepare fight crime water miss keep figure produce across treat","Spend take would wind method","185.44","0","false","0"
"26","Wish arrive","West their free baby opportunity environmental","General personal town","125.76","0","false","0"
"27","Future second reach leg bring","Kind quickly grow make free month","Big person conference type","420.51","2","true","0"
"28","Score city","So yet fact past present fine fear big","Management reduce skill","137.47","1","true","0"
"29","East threat year day","Summer color information south write pattern concern toward fast spring","General parent heart","307.89","5","false","0"
"30","Help day","Make time since meet news economic make require","When seven card safe","395.40","1","true","0"
"31","Raise report heart heart that","Either hard figure hope partner mission","Light fight adult family","426.57","4","false","0"
"32","Reach risk painting camera","Office central they film leader edge clearly voice region","American need outside who respond","324.25","2","true","0"
"33","Option a police team better","Bed him vote require explain call newspaper get","Decide street pretty second mind","420.82","1","false","0"
"34","Ever such","Later everybody think American several theory","Amount parent certain cut memory","202.52","5","false","0"
"35","Beyond drop","Phone conference someone relate modern owner it","Discuss respond today method know","289.00","5","false","0"
"36","General family","Though another consumer better grow story","Sell nature","120.73","1","false","0"
